StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q10,Q3,Q5,Q6,Q7,Q7_3_TEXT,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you ever experienced trolling on Facebook?,"What was the nature of that troll? (If you have experienced it more than once, mention the one that is most frequent) - Selected Choice","What was the nature of that troll? (If you have experienced it more than once, mention the one that is most frequent) - Other - Text",Did you report it?,How many times do you login or check Facebook?,How much time do you spend on Facebook EACH time you check/login?,"How often do you post on Facebook (Photos, status update, check-ins, etc.)",Which gender do you classify yourself as? - Selected Choice,Which gender do you classify yourself as? - Other - Text,Your Age?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_3_TEXT""}","{""ImportId"":""QID9""}"
2018-03-30 10:04:43,2018-03-30 10:07:13,IP Address,71.239.172.53,100,149,True,2018-03-30 10:07:13,R_RzyFO3VbAmcByDf,,,,,41.97590637207,-87.701599121094,anonymous,EN,Yes,Personally directed remark,,Yes,1-3 times a day,It really depends on the day,Rarely or never,Female,,18-24
2018-03-30 10:07:28,2018-03-30 10:07:58,IP Address,2.31.25.9,100,29,True,2018-03-30 10:07:58,R_AaIjEaOuOvyT3hL,,,,,51.477600097656,-0.010406494140625,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,1-3 times a day,An hour,Sometimes,Female,,18-24
2018-03-30 10:10:21,2018-03-30 10:10:56,Survey Preview,,100,35,True,2018-03-30 10:10:56,R_1Ecex7gXxrndsDX,,,,,39.960998535156,-85.983703613281,preview,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Maybe,1-3 times a day,An hour,Frequently,Female,,18-24
2018-03-30 10:11:16,2018-03-30 10:12:35,IP Address,73.58.154.121,100,78,True,2018-03-30 10:12:35,R_2YAoo3FWPhe9j9l,,,,,39.960998535156,-85.983703613281,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,10-12 times a day,1-5 minutes (Quickly checking notifications),Rarely or never,Male,,18-24
2018-03-30 10:16:09,2018-03-30 10:16:43,IP Address,49.195.203.122,100,34,True,2018-03-30 10:16:43,R_Y4zKZhJqsoMAYDv,,,,,-33.833297729492,150.98330688477,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Yes,1-3 times a day,1-5 minutes (Quickly checking notifications),Rarely or never,Male,,18-24
2018-03-30 11:58:13,2018-03-30 11:59:17,IP Address,82.29.162.204,100,64,True,2018-03-30 11:59:17,R_3MgHMMrljTE9pAj,,,,,53,-2.1833038330078,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,1-3 times a day,10-15 minutes,Rarely or never,Female,,18-24
2018-03-30 12:29:01,2018-03-30 12:30:14,IP Address,82.23.112.66,100,72,True,2018-03-30 12:30:14,R_2fj6UD8jza94TvH,,,,,55.833297729492,-4.25,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,10-12 times a day,10-15 minutes,Rarely or never,Female,,18-24
2018-03-30 12:39:39,2018-03-30 12:39:45,IP Address,86.4.204.148,100,6,True,2018-03-30 12:39:46,R_WqxrkBYNMoxElMt,,,,,51.866195678711,-0.45680236816406,anonymous,EN,No,,,,,,,,,
2018-03-30 14:00:06,2018-03-30 14:00:47,IP Address,188.141.21.74,100,40,True,2018-03-30 14:00:49,R_1jICEj8VIR3lbtS,,,,,53.333099365234,-6.2489013671875,anonymous,EN,Yes,Personally directed remark,,No,10-12 times a day,1-5 minutes (Quickly checking notifications),Rarely or never,Male,,18-24
2018-03-30 14:29:09,2018-03-30 14:29:13,IP Address,46.80.216.112,100,3,True,2018-03-30 14:29:13,R_3syvvNjcQBrAek1,,,,,50.484405517578,8.2624969482422,anonymous,EN,No,,,,,,,,,
2018-03-30 16:40:33,2018-03-30 16:41:26,IP Address,73.170.68.217,100,52,True,2018-03-30 16:41:26,R_2pQtDFA1Lb90l4k,,,,,37.980895996094,-122.33319854736,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Yes,1-3 times a day,10-15 minutes,Rarely or never,Female,,25-30
2018-03-31 08:02:14,2018-03-31 08:02:49,IP Address,86.158.97.129,100,35,True,2018-03-31 08:02:50,R_sZQodGpNKwz8DZf,,,,,51.88330078125,-0.10000610351562,anonymous,EN,No,,,,,,,,,
2018-03-31 08:02:54,2018-03-31 08:03:37,IP Address,86.158.97.129,100,42,True,2018-03-31 08:03:37,R_27dvnrEUyBAKwAh,,,,,51.88330078125,-0.10000610351562,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,1-3 times a day,It really depends on the day,Rarely or never,Female,,18-24
2018-03-31 09:11:28,2018-03-31 09:11:34,IP Address,89.129.124.175,100,5,True,2018-03-31 09:11:34,R_3OejZiHt6WmpR2n,,,,,38.97590637207,-0.56509399414062,anonymous,EN,No,,,,,,,,,
2018-03-31 10:26:05,2018-03-31 10:26:10,IP Address,145.5.199.49,100,4,True,2018-03-31 10:26:10,R_T6fzeZLWCHksKd3,,,,,51.916702270508,4.5,anonymous,EN,No,,,,,,,,,
2018-03-31 10:32:31,2018-03-31 10:33:17,IP Address,82.132.184.54,100,45,True,2018-03-31 10:33:17,R_1eJ2H4HdT0Sbty1,,,,,51.496398925781,-0.12240600585938,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Yes,I don't keep a track,It really depends on the day,Rarely or never,Female,,18-24
2018-03-31 11:25:19,2018-03-31 11:25:30,IP Address,220.225.30.37,100,11,True,2018-03-31 11:25:31,R_3NVQbkFIaq3R7WO,,,,,28.666702270508,77.433288574219,anonymous,EN,No,,,,,,,,,
2018-03-31 11:25:39,2018-03-31 11:26:28,IP Address,220.225.30.37,100,49,True,2018-03-31 11:26:29,R_qvW7k5SZ5od7ZS1,,,,,28.666702270508,77.433288574219,anonymous,EN,Yes,Personally directed remark,,No,1-3 times a day,10-15 minutes,Sometimes,Male,,25-30
2018-03-31 11:38:54,2018-03-31 11:39:47,IP Address,149.159.1.124,100,53,True,2018-03-31 11:39:47,R_2eOqpiUxOTSOIBF,,,,,39.249893188477,-86.455497741699,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Yes,10-12 times a day,I have no idea,Sometimes,Male,,25-30
2018-03-31 11:46:45,2018-03-31 11:47:23,IP Address,107.77.165.2,100,38,True,2018-03-31 11:47:24,R_bq0ojpgn9JcflHX,,,,,34.054397583008,-118.2440032959,anonymous,EN,Yes,Personally directed remark,,No,10-12 times a day,1-5 minutes (Quickly checking notifications),Sometimes,Male,,25-30
2018-03-31 11:51:48,2018-03-31 11:52:32,IP Address,70.176.249.81,100,43,True,2018-03-31 11:52:32,R_1IsBkxPLuiLmgMx,,,,,33.440307617188,-111.85369873047,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Maybe,1-3 times a day,1-5 minutes (Quickly checking notifications),Sometimes,Female,,25-30
2018-03-31 12:02:31,2018-03-31 12:02:37,IP Address,68.51.125.14,100,5,True,2018-03-31 12:02:37,R_2b1V7c5Yd4GPv0g,,,,,39.083602905273,-86.432098388672,anonymous,EN,No,,,,,,,,,
2018-03-31 14:36:58,2018-03-31 14:37:19,IP Address,68.51.124.35,100,20,True,2018-03-31 14:37:19,R_1Qg84ja6eKqACBP,,,,,39.078994750977,-86.617500305176,anonymous,EN,Yes,Personally directed remark,,No,10-12 times a day,An hour,Rarely or never,Male,,18-24
2018-03-31 14:37:23,2018-03-31 14:37:41,IP Address,68.51.124.35,100,17,True,2018-03-31 14:37:41,R_To96ndFcQut03lL,,,,,39.078994750977,-86.617500305176,anonymous,EN,Yes,Personally directed remark,,No,1-3 times a day,20-30 minutes,Sometimes,Female,,25-30
2018-03-31 14:37:47,2018-03-31 14:38:07,IP Address,68.51.124.35,100,20,True,2018-03-31 14:38:08,R_3povnUnPKLs58gf,,,,,39.078994750977,-86.617500305176,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,No,10-12 times a day,1-5 minutes (Quickly checking notifications),Sometimes,Female,,25-30
2018-03-31 16:30:30,2018-03-31 16:30:53,IP Address,68.51.124.35,100,23,True,2018-03-31 16:30:54,R_1IL9LfzFBZAioai,,,,,39.078994750977,-86.617500305176,anonymous,EN,Yes,"Remark on a certain community or group that you belong to (it could be racial, interest group, political view, place where you work etc. )",,Yes,10-12 times a day,An hour,Frequently,Female,,18-24
